"","celltype"
"cell_48698","ExE ectoderm"
"cell_48699",NA
"cell_48700","Primitive Streak"
"cell_48701","Mixed mesoderm"
"cell_48702","Blood progenitors 1"
"cell_48703","Rostral neurectoderm"
"cell_48704","ExE endoderm"
"cell_48705","Def. endoderm"
"cell_48706","Nascent mesoderm"
"cell_48707","Epiblast"
"cell_48708","Primitive Streak"
"cell_48709","ExE ectoderm"
"cell_48710","ExE endoderm"
"cell_48711","Mesenchyme"
"cell_48712","ExE endoderm"
"cell_48713","ExE ectoderm"
"cell_48714","Nascent mesoderm"
"cell_48715","ExE endoderm"
"cell_48716","ExE ectoderm"
"cell_48717","Epiblast"
"cell_48718","Mesenchyme"
"cell_48719",NA
"cell_48720",NA
"cell_48721","ExE ectoderm"
"cell_48722","Nascent mesoderm"
"cell_48723","Mixed mesoderm"
"cell_48724","ExE endoderm"
"cell_48725","ExE ectoderm"
"cell_48726","ExE ectoderm"
"cell_48727","Mesenchyme"
"cell_48728","Epiblast"
"cell_48729","Nascent mesoderm"
"cell_48730",NA
"cell_48731","Blood progenitors 1"
"cell_48732",NA
"cell_48733",NA
"cell_48734","Gut"
"cell_48735","Caudal epiblast"
"cell_48736",NA
"cell_48737","Nascent mesoderm"
"cell_48738","ExE ectoderm"
"cell_48739","ExE endoderm"
"cell_48740","Rostral neurectoderm"
"cell_48741","Rostral neurectoderm"
"cell_48742","Anterior Primitive Streak"
"cell_48743",NA
"cell_48744",NA
"cell_48745","ExE endoderm"
"cell_48746","ExE ectoderm"
"cell_48747","Haematoendothelial progenitors"
"cell_48748","ExE endoderm"
"cell_48749","ExE ectoderm"
"cell_48750","ExE endoderm"
"cell_48751","ExE endoderm"
"cell_48752","Rostral neurectoderm"
"cell_48753",NA
"cell_48754","Blood progenitors 2"
"cell_48755","Rostral neurectoderm"
"cell_48756",NA
"cell_48757","Primitive Streak"
"cell_48758","Mixed mesoderm"
"cell_48759","Surface ectoderm"
"cell_48760","Intermediate mesoderm"
"cell_48761","Rostral neurectoderm"
"cell_48762","PGC"
"cell_48763","Caudal Mesoderm"
"cell_48764","ExE endoderm"
"cell_48765","Mesenchyme"
"cell_48766",NA
"cell_48767","ExE endoderm"
"cell_48768","Mixed mesoderm"
"cell_48769","ExE endoderm"
"cell_48770","ExE endoderm"
"cell_48771",NA
"cell_48772","ExE ectoderm"
"cell_48773","Primitive Streak"
"cell_48774","Mixed mesoderm"
"cell_48775","Nascent mesoderm"
"cell_48776","Epiblast"
"cell_48777","PGC"
"cell_48778",NA
"cell_48779","Primitive Streak"
"cell_48780","Nascent mesoderm"
"cell_48781","Rostral neurectoderm"
"cell_48782","Haematoendothelial progenitors"
"cell_48783","ExE endoderm"
"cell_48784","Mixed mesoderm"
"cell_48785","Caudal Mesoderm"
"cell_48786","Blood progenitors 1"
"cell_48787","Allantois"
"cell_48788","Pharyngeal mesoderm"
"cell_48789","Rostral neurectoderm"
"cell_48790","Mesenchyme"
"cell_48791","Epiblast"
"cell_48792","ExE ectoderm"
"cell_48793","ExE endoderm"
"cell_48794",NA
"cell_48795","Paraxial mesoderm"
"cell_48796","Rostral neurectoderm"
"cell_48797","ExE ectoderm"
"cell_48798",NA
"cell_48799","Intermediate mesoderm"
"cell_48800","Nascent mesoderm"
"cell_48801",NA
"cell_48802","Nascent mesoderm"
"cell_48803","Haematoendothelial progenitors"
"cell_48804","Epiblast"
"cell_48805","Haematoendothelial progenitors"
"cell_48806","Mixed mesoderm"
"cell_48807",NA
"cell_48808",NA
"cell_48809","Haematoendothelial progenitors"
"cell_48810","Visceral endoderm"
"cell_48811",NA
"cell_48812","Gut"
"cell_48813","Rostral neurectoderm"
"cell_48814","Mesenchyme"
"cell_48815",NA
"cell_48816",NA
"cell_48817","Blood progenitors 1"
"cell_48818",NA
"cell_48819","Mesenchyme"
"cell_48820","Mesenchyme"
"cell_48821",NA
"cell_48822","ExE endoderm"
"cell_48823","Rostral neurectoderm"
"cell_48824",NA
"cell_48825","Surface ectoderm"
"cell_48826","Caudal epiblast"
"cell_48827","Caudal epiblast"
"cell_48828","Primitive Streak"
"cell_48829",NA
"cell_48830","Def. endoderm"
"cell_48831","Visceral endoderm"
"cell_48832","Mixed mesoderm"
"cell_48833","Primitive Streak"
"cell_48834",NA
"cell_48835","ExE endoderm"
"cell_48836","Mixed mesoderm"
"cell_48837","Rostral neurectoderm"
"cell_48838","ExE ectoderm"
"cell_48839",NA
"cell_48840","Haematoendothelial progenitors"
"cell_48841","Rostral neurectoderm"
"cell_48842","Visceral endoderm"
"cell_48843","Epiblast"
"cell_48844",NA
"cell_48845","Epiblast"
"cell_48846","ExE endoderm"
"cell_48847",NA
"cell_48848",NA
"cell_48849","Haematoendothelial progenitors"
"cell_48850","ExE mesoderm"
"cell_48851","Epiblast"
"cell_48852","Rostral neurectoderm"
"cell_48853","Mesenchyme"
"cell_48854","ExE ectoderm"
"cell_48855","Caudal epiblast"
"cell_48856",NA
"cell_48857","Rostral neurectoderm"
"cell_48858","ExE endoderm"
"cell_48859","Mesenchyme"
"cell_48860",NA
"cell_48861","ExE ectoderm"
"cell_48862","Nascent mesoderm"
"cell_48863","Primitive Streak"
"cell_48864","Rostral neurectoderm"
"cell_48865","Visceral endoderm"
"cell_48866",NA
"cell_48867","ExE endoderm"
"cell_48868","ExE ectoderm"
"cell_48869",NA
"cell_48870","Rostral neurectoderm"
"cell_48871","Nascent mesoderm"
"cell_48872",NA
"cell_48873",NA
"cell_48874","Epiblast"
"cell_48875","Rostral neurectoderm"
"cell_48876","Rostral neurectoderm"
"cell_48877",NA
"cell_48878","Primitive Streak"
"cell_48879","ExE ectoderm"
"cell_48880","Visceral endoderm"
"cell_48881","Caudal epiblast"
"cell_48882","Blood progenitors 1"
"cell_48883","ExE ectoderm"
"cell_48884","ExE ectoderm"
"cell_48885","ExE ectoderm"
"cell_48886",NA
"cell_48887","Blood progenitors 1"
"cell_48888","Blood progenitors 1"
"cell_48889","ExE endoderm"
"cell_48890","ExE ectoderm"
"cell_48891","Surface ectoderm"
"cell_48892","Nascent mesoderm"
"cell_48893","Haematoendothelial progenitors"
"cell_48894","Visceral endoderm"
"cell_48895","Epiblast"
"cell_48896","Mesenchyme"
"cell_48897",NA
"cell_48898","ExE ectoderm"
"cell_48899","Visceral endoderm"
"cell_48900","ExE endoderm"
"cell_48901",NA
"cell_48902","Primitive Streak"
"cell_48903","ExE endoderm"
"cell_48904","Epiblast"
"cell_48905","ExE ectoderm"
"cell_48906","ExE endoderm"
"cell_48907","ExE endoderm"
"cell_48908","Haematoendothelial progenitors"
"cell_48909","Anterior Primitive Streak"
"cell_48910","Nascent mesoderm"
"cell_48911","ExE ectoderm"
"cell_48912","Blood progenitors 2"
"cell_48913","Nascent mesoderm"
"cell_48914","Def. endoderm"
"cell_48915","Epiblast"
"cell_48916","ExE ectoderm"
"cell_48917","Primitive Streak"
"cell_48918","Blood progenitors 1"
"cell_48919","ExE ectoderm"
"cell_48920","ExE endoderm"
"cell_48921",NA
"cell_48922","Blood progenitors 2"
"cell_48923",NA
"cell_48924","Rostral neurectoderm"
"cell_48925","ExE endoderm"
"cell_48926","Surface ectoderm"
"cell_48927","Primitive Streak"
"cell_48928","Primitive Streak"
"cell_48929",NA
"cell_48930","ExE endoderm"
"cell_48931","Mixed mesoderm"
"cell_48932",NA
"cell_48933","Gut"
"cell_48934","Nascent mesoderm"
"cell_48935","ExE ectoderm"
"cell_48936","Mixed mesoderm"
"cell_48937","Mesenchyme"
"cell_48938","Surface ectoderm"
"cell_48939","Def. endoderm"
"cell_48940","Somitic mesoderm"
"cell_48941","ExE endoderm"
"cell_48942","Mesenchyme"
"cell_48943","Rostral neurectoderm"
"cell_48944","Caudal epiblast"
"cell_48945",NA
"cell_48946","Mixed mesoderm"
"cell_48947","Def. endoderm"
"cell_48948","ExE ectoderm"
"cell_48949","ExE endoderm"
"cell_48950",NA
"cell_48951","Rostral neurectoderm"
"cell_48952","ExE endoderm"
"cell_48953","ExE endoderm"
"cell_48954","Primitive Streak"
"cell_48955","Rostral neurectoderm"
"cell_48956","Surface ectoderm"
"cell_48957","Mixed mesoderm"
"cell_48958","Mixed mesoderm"
"cell_48959","Nascent mesoderm"
"cell_48960","Nascent mesoderm"
"cell_48961","ExE ectoderm"
"cell_48962",NA
"cell_48963",NA
"cell_48964","Gut"
"cell_48965",NA
"cell_48966","Surface ectoderm"
"cell_48967","ExE endoderm"
"cell_48968","Epiblast"
"cell_48969","Blood progenitors 1"
"cell_48970","Epiblast"
"cell_48971","ExE endoderm"
"cell_48972",NA
"cell_48973",NA
"cell_48974","ExE ectoderm"
"cell_48975",NA
"cell_48976","Visceral endoderm"
"cell_48977","ExE endoderm"
"cell_48978","Rostral neurectoderm"
"cell_48979","Gut"
"cell_48980","Epiblast"
"cell_48981","Rostral neurectoderm"
"cell_48982","ExE endoderm"
"cell_48983","ExE endoderm"
"cell_48984","Caudal epiblast"
"cell_48985","Primitive Streak"
"cell_48986","Rostral neurectoderm"
"cell_48987","Epiblast"
"cell_48988","Mesenchyme"
"cell_48989","Epiblast"
"cell_48990",NA
"cell_48991","Epiblast"
"cell_48992",NA
"cell_48993","Blood progenitors 1"
"cell_48994","ExE ectoderm"
"cell_48995","Primitive Streak"
"cell_48996","Intermediate mesoderm"
"cell_48997","Gut"
"cell_48998","Haematoendothelial progenitors"
"cell_48999","Epiblast"
"cell_49000","ExE mesoderm"
"cell_49001","Mixed mesoderm"
"cell_49002","ExE endoderm"
"cell_49003","Blood progenitors 2"
"cell_49004","Intermediate mesoderm"
"cell_49005","Nascent mesoderm"
"cell_49006","Epiblast"
"cell_49007","Caudal epiblast"
"cell_49008","Def. endoderm"
"cell_49009",NA
"cell_49010","Rostral neurectoderm"
"cell_49011","ExE ectoderm"
"cell_49012","ExE endoderm"
"cell_49013","ExE endoderm"
"cell_49014","Rostral neurectoderm"
"cell_49015","Visceral endoderm"
"cell_49016","Rostral neurectoderm"
"cell_49017","Primitive Streak"
"cell_49018","Nascent mesoderm"
"cell_49019","Mesenchyme"
"cell_49020","Epiblast"
"cell_49021","ExE ectoderm"
"cell_49022","ExE endoderm"
"cell_49023","Rostral neurectoderm"
"cell_49024","ExE ectoderm"
"cell_49025","Blood progenitors 2"
"cell_49026","ExE endoderm"
"cell_49027","Rostral neurectoderm"
"cell_49028","Mixed mesoderm"
"cell_49029","Visceral endoderm"
"cell_49030","Caudal epiblast"
"cell_49031","Rostral neurectoderm"
"cell_49032","ExE ectoderm"
"cell_49033","Blood progenitors 1"
"cell_49034","Haematoendothelial progenitors"
"cell_49035","Primitive Streak"
"cell_49036","Epiblast"
"cell_49037",NA
"cell_49038","Epiblast"
"cell_49039","ExE endoderm"
"cell_49040","Gut"
"cell_49041","Somitic mesoderm"
"cell_49042","ExE ectoderm"
"cell_49043","Epiblast"
"cell_49044","ExE endoderm"
"cell_49045","Mixed mesoderm"
"cell_49046","Rostral neurectoderm"
"cell_49047","Caudal epiblast"
"cell_49048","Caudal epiblast"
"cell_49049","Mesenchyme"
"cell_49050","ExE ectoderm"
"cell_49051",NA
"cell_49052","Visceral endoderm"
"cell_49053","Caudal Mesoderm"
"cell_49054","Rostral neurectoderm"
"cell_49055",NA
"cell_49056",NA
"cell_49057","Caudal neurectoderm"
"cell_49058","Caudal epiblast"
"cell_49059","Caudal epiblast"
"cell_49060","Intermediate mesoderm"
"cell_49061","Blood progenitors 1"
"cell_49062","Caudal Mesoderm"
"cell_49063","Caudal epiblast"
"cell_49064","ExE ectoderm"
"cell_49065","Haematoendothelial progenitors"
"cell_49066",NA
"cell_49067","Rostral neurectoderm"
"cell_49068","Rostral neurectoderm"
"cell_49069",NA
"cell_49070",NA
"cell_49071","Nascent mesoderm"
"cell_49072",NA
"cell_49073","ExE ectoderm"
"cell_49074","Mixed mesoderm"
"cell_49075","ExE endoderm"
"cell_49076","ExE ectoderm"
"cell_49077","ExE endoderm"
"cell_49078","Rostral neurectoderm"
"cell_49079","Rostral neurectoderm"
"cell_49080","ExE endoderm"
"cell_49081","ExE ectoderm"
"cell_49082","ExE endoderm"
"cell_49083",NA
"cell_49084","Epiblast"
"cell_49085","Def. endoderm"
"cell_49086","ExE endoderm"
"cell_49087","ExE ectoderm"
"cell_49088","Epiblast"
"cell_49089","ExE ectoderm"
"cell_49090","Caudal epiblast"
"cell_49091","Haematoendothelial progenitors"
"cell_49092","ExE ectoderm"
"cell_49093","Caudal epiblast"
"cell_49094","ExE ectoderm"
"cell_49095","ExE endoderm"
"cell_49096","ExE endoderm"
"cell_49097","ExE endoderm"
"cell_49098","Intermediate mesoderm"
"cell_49099","Caudal epiblast"
"cell_49100","ExE ectoderm"
"cell_49101",NA
"cell_49102",NA
"cell_49103","Nascent mesoderm"
"cell_49104","Epiblast"
"cell_49105","ExE endoderm"
"cell_49106",NA
"cell_49107","ExE endoderm"
"cell_49108","Epiblast"
"cell_49109","ExE endoderm"
"cell_49110","Pharyngeal mesoderm"
"cell_49111",NA
"cell_49112","ExE ectoderm"
"cell_49113","Epiblast"
"cell_49114","ExE endoderm"
"cell_49115","ExE ectoderm"
"cell_49116","Rostral neurectoderm"
"cell_49117","Def. endoderm"
"cell_49118","Rostral neurectoderm"
"cell_49119","Mesenchyme"
"cell_49120","Primitive Streak"
"cell_49121","Caudal epiblast"
"cell_49122","Nascent mesoderm"
"cell_49123","ExE ectoderm"
"cell_49124",NA
"cell_49125","Rostral neurectoderm"
"cell_49126",NA
"cell_49127",NA
"cell_49128","ExE endoderm"
"cell_49129","Caudal epiblast"
"cell_49130","Paraxial mesoderm"
"cell_49131","Mixed mesoderm"
"cell_49132",NA
"cell_49133","Epiblast"
"cell_49134","Haematoendothelial progenitors"
"cell_49135","Caudal epiblast"
"cell_49136","Caudal neurectoderm"
"cell_49137","Primitive Streak"
"cell_49138","Blood progenitors 2"
"cell_49139","Blood progenitors 1"
"cell_49140","ExE ectoderm"
"cell_49141","ExE endoderm"
"cell_49142","ExE ectoderm"
"cell_49143","Nascent mesoderm"
"cell_49144","ExE ectoderm"
"cell_49145",NA
"cell_49146","Haematoendothelial progenitors"
"cell_49147","Epiblast"
"cell_49148","ExE endoderm"
"cell_49149","Caudal epiblast"
"cell_49150","Rostral neurectoderm"
"cell_49151","Nascent mesoderm"
"cell_49152","Blood progenitors 1"
"cell_49153",NA
"cell_49154","Caudal epiblast"
"cell_49155","Epiblast"
"cell_49156","ExE ectoderm"
"cell_49157",NA
"cell_49158","ExE ectoderm"
"cell_49159","Pharyngeal mesoderm"
"cell_49160","ExE ectoderm"
"cell_49161","Epiblast"
"cell_49162","ExE ectoderm"
"cell_49163",NA
"cell_49164","ExE ectoderm"
"cell_49165","Primitive Streak"
"cell_49166","Visceral endoderm"
"cell_49167","Haematoendothelial progenitors"
"cell_49168","ExE endoderm"
"cell_49169","Nascent mesoderm"
"cell_49170",NA
"cell_49171","ExE ectoderm"
"cell_49172","Primitive Streak"
"cell_49173","Caudal epiblast"
"cell_49174","ExE endoderm"
"cell_49175","Epiblast"
"cell_49176","Anterior Primitive Streak"
"cell_49177","Caudal epiblast"
"cell_49178",NA
"cell_49179","Haematoendothelial progenitors"
"cell_49180","Epiblast"
"cell_49181","Surface ectoderm"
"cell_49182","Mesenchyme"
"cell_49183","ExE mesoderm"
"cell_49184","ExE ectoderm"
"cell_49185","Mixed mesoderm"
"cell_49186","Rostral neurectoderm"
"cell_49187","Rostral neurectoderm"
"cell_49188","ExE endoderm"
"cell_49189","ExE endoderm"
"cell_49190","Notochord"
"cell_49191",NA
"cell_49192","Rostral neurectoderm"
"cell_49193","Rostral neurectoderm"
"cell_49194","ExE mesoderm"
"cell_49195","Epiblast"
"cell_49196","Mixed mesoderm"
"cell_49197","Caudal epiblast"
"cell_49198","Caudal epiblast"
"cell_49199",NA
"cell_49200","Paraxial mesoderm"
"cell_49201","ExE endoderm"
"cell_49202","Nascent mesoderm"
"cell_49203",NA
"cell_49204","ExE ectoderm"
"cell_49205","Haematoendothelial progenitors"
"cell_49206","Rostral neurectoderm"
"cell_49207","ExE mesoderm"
"cell_49208",NA
"cell_49209","ExE endoderm"
"cell_49210","Nascent mesoderm"
"cell_49211","Mixed mesoderm"
"cell_49212","ExE endoderm"
"cell_49213",NA
"cell_49214","ExE endoderm"
"cell_49215","Epiblast"
"cell_49216","Somitic mesoderm"
"cell_49217","ExE endoderm"
"cell_49218",NA
"cell_49219","Rostral neurectoderm"
"cell_49220","ExE ectoderm"
"cell_49221",NA
"cell_49222","Blood progenitors 2"
"cell_49223","ExE ectoderm"
"cell_49224","ExE ectoderm"
"cell_49225","Def. endoderm"
"cell_49226","Epiblast"
"cell_49227","ExE ectoderm"
"cell_49228","Caudal epiblast"
"cell_49229","Caudal epiblast"
"cell_49230","ExE endoderm"
"cell_49231",NA
"cell_49232","ExE ectoderm"
"cell_49233","Epiblast"
"cell_49234","ExE endoderm"
"cell_49235","ExE endoderm"
"cell_49236",NA
"cell_49237",NA
"cell_49238","ExE endoderm"
"cell_49239","Notochord"
"cell_49240","ExE endoderm"
"cell_49241","Rostral neurectoderm"
"cell_49242","Nascent mesoderm"
"cell_49243","Blood progenitors 2"
"cell_49244",NA
"cell_49245",NA
"cell_49246","ExE ectoderm"
"cell_49247",NA
"cell_49248","Epiblast"
"cell_49249","ExE ectoderm"
"cell_49250","Rostral neurectoderm"
"cell_49251","Rostral neurectoderm"
"cell_49252","Notochord"
"cell_49253","Rostral neurectoderm"
"cell_49254","ExE ectoderm"
"cell_49255",NA
"cell_49256","Gut"
"cell_49257","ExE endoderm"
"cell_49258","Intermediate mesoderm"
"cell_49259","ExE endoderm"
"cell_49260","Gut"
"cell_49261","Caudal neurectoderm"
"cell_49262","Mesenchyme"
"cell_49263","Epiblast"
"cell_49264","Intermediate mesoderm"
"cell_49265","Pharyngeal mesoderm"
"cell_49266","ExE endoderm"
"cell_49267",NA
"cell_49268",NA
"cell_49269","Mixed mesoderm"
"cell_49270","ExE endoderm"
"cell_49271","Caudal neurectoderm"
"cell_49272","Blood progenitors 2"
"cell_49273","ExE endoderm"
"cell_49274","Rostral neurectoderm"
"cell_49275","ExE ectoderm"
"cell_49276","Caudal epiblast"
"cell_49277","Mixed mesoderm"
"cell_49278","Anterior Primitive Streak"
"cell_49279","PGC"
"cell_49280","Def. endoderm"
"cell_49281",NA
"cell_49282","Anterior Primitive Streak"
"cell_49283","Mixed mesoderm"
"cell_49284","Rostral neurectoderm"
"cell_49285","Primitive Streak"
"cell_49286","Mixed mesoderm"
"cell_49287","Epiblast"
"cell_49288","Mixed mesoderm"
"cell_49289","Blood progenitors 2"
"cell_49290","Intermediate mesoderm"
"cell_49291","Caudal epiblast"
"cell_49292","Blood progenitors 2"
"cell_49293","Nascent mesoderm"
"cell_49294","ExE endoderm"
"cell_49295","Visceral endoderm"
"cell_49296",NA
"cell_49297","Intermediate mesoderm"
"cell_49298","ExE ectoderm"
"cell_49299","Mixed mesoderm"
"cell_49300","Mesenchyme"
"cell_49301","Epiblast"
"cell_49302",NA
"cell_49303","Nascent mesoderm"
"cell_49304","ExE endoderm"
"cell_49305",NA
"cell_49306","Rostral neurectoderm"
"cell_49307","Paraxial mesoderm"
"cell_49308","Primitive Streak"
"cell_49309","Intermediate mesoderm"
"cell_49310","Epiblast"
"cell_49311","ExE endoderm"
"cell_49312","Mesenchyme"
"cell_49313","ExE ectoderm"
"cell_49314","Def. endoderm"
"cell_49315","Def. endoderm"
"cell_49316","Anterior Primitive Streak"
"cell_49317","Pharyngeal mesoderm"
"cell_49318",NA
"cell_49319","Epiblast"
"cell_49320","ExE ectoderm"
"cell_49321","Epiblast"
"cell_49322","Mesenchyme"
"cell_49323","Rostral neurectoderm"
"cell_49324","ExE endoderm"
"cell_49325",NA
"cell_49326","Visceral endoderm"
"cell_49327","ExE endoderm"
"cell_49328","Mixed mesoderm"
"cell_49329","ExE ectoderm"
"cell_49330","Blood progenitors 1"
"cell_49331","ExE ectoderm"
"cell_49332",NA
"cell_49333",NA
"cell_49334","Epiblast"
"cell_49335","Mixed mesoderm"
"cell_49336","Paraxial mesoderm"
"cell_49337","ExE endoderm"
"cell_49338","ExE ectoderm"
"cell_49339","Caudal epiblast"
"cell_49340",NA
"cell_49341","ExE ectoderm"
"cell_49342","Rostral neurectoderm"
"cell_49343",NA
"cell_49344","Primitive Streak"
"cell_49345","Primitive Streak"
"cell_49346","Rostral neurectoderm"
"cell_49347","Nascent mesoderm"
"cell_49348","Epiblast"
"cell_49349","Notochord"
"cell_49350",NA
"cell_49351","Caudal epiblast"
"cell_49352","Mesenchyme"
"cell_49353","Rostral neurectoderm"
"cell_49354","ExE endoderm"
"cell_49355","ExE ectoderm"
"cell_49356","Nascent mesoderm"
"cell_49357","Epiblast"
"cell_49358","ExE endoderm"
"cell_49359","Mesenchyme"
"cell_49360",NA
"cell_49361","Blood progenitors 1"
"cell_49362","ExE ectoderm"
"cell_49363","Intermediate mesoderm"
"cell_49364","Gut"
"cell_49365","Surface ectoderm"
"cell_49366","ExE endoderm"
"cell_49367","Epiblast"
"cell_49368",NA
"cell_49369","ExE ectoderm"
"cell_49370","Def. endoderm"
"cell_49371","Rostral neurectoderm"
"cell_49372","ExE endoderm"
"cell_49373",NA
"cell_49374","Anterior Primitive Streak"
"cell_49375","ExE endoderm"
"cell_49376","Surface ectoderm"
"cell_49377","ExE endoderm"
"cell_49378","ExE ectoderm"
"cell_49379","Intermediate mesoderm"
"cell_49380","Rostral neurectoderm"
"cell_49381",NA
"cell_49382","Caudal epiblast"
"cell_49383","ExE endoderm"
"cell_49384","Rostral neurectoderm"
"cell_49385",NA
"cell_49386",NA
"cell_49387",NA
"cell_49388","Surface ectoderm"
"cell_49389","ExE ectoderm"
"cell_49390","Epiblast"
"cell_49391","Surface ectoderm"
"cell_49392","Somitic mesoderm"
"cell_49393",NA
"cell_49394","Mixed mesoderm"
"cell_49395","ExE endoderm"
"cell_49396","Caudal epiblast"
"cell_49397","Caudal epiblast"
"cell_49398","Nascent mesoderm"
"cell_49399","Epiblast"
"cell_49400",NA
"cell_49401","Rostral neurectoderm"
"cell_49402",NA
"cell_49403",NA
"cell_49404","Rostral neurectoderm"
"cell_49405","Nascent mesoderm"
"cell_49406","Caudal neurectoderm"
"cell_49407",NA
"cell_49408",NA
"cell_49409","ExE ectoderm"
"cell_49410","ExE endoderm"
"cell_49411","Caudal epiblast"
"cell_49412","ExE ectoderm"
"cell_49413","Mixed mesoderm"
"cell_49414","ExE endoderm"
"cell_49415","Rostral neurectoderm"
"cell_49416","Gut"
"cell_49417","ExE ectoderm"
"cell_49418",NA
"cell_49419","Blood progenitors 1"
"cell_49420",NA
"cell_49421","ExE endoderm"
"cell_49422","ExE ectoderm"
"cell_49423","Epiblast"
"cell_49424","Def. endoderm"
"cell_49425","ExE ectoderm"
"cell_49426",NA
"cell_49427","ExE endoderm"
"cell_49428","Mixed mesoderm"
"cell_49429","Nascent mesoderm"
"cell_49430","ExE ectoderm"
"cell_49431",NA
"cell_49432","Primitive Streak"
"cell_49433","Caudal epiblast"
"cell_49434","Mesenchyme"
"cell_49435","Mesenchyme"
"cell_49436","ExE endoderm"
"cell_49437","Epiblast"
"cell_49438","Rostral neurectoderm"
"cell_49439","Nascent mesoderm"
"cell_49440","ExE ectoderm"
"cell_49441","Primitive Streak"
"cell_49442","Mesenchyme"
"cell_49443","Primitive Streak"
"cell_49444","ExE endoderm"
"cell_49445","Surface ectoderm"
"cell_49446",NA
"cell_49447","Caudal epiblast"
"cell_49448","Mesenchyme"
"cell_49449","Epiblast"
"cell_49450","ExE ectoderm"
"cell_49451","ExE ectoderm"
"cell_49452","ExE ectoderm"
"cell_49453","Epiblast"
"cell_49454","Rostral neurectoderm"
"cell_49455","ExE endoderm"
"cell_49456","Visceral endoderm"
"cell_49457",NA
"cell_49458","Caudal epiblast"
"cell_49459","Caudal neurectoderm"
"cell_49460","Primitive Streak"
"cell_49461","ExE ectoderm"
"cell_49462",NA
"cell_49463","ExE ectoderm"
"cell_49464",NA
"cell_49465","Paraxial mesoderm"
"cell_49466","ExE endoderm"
"cell_49467","Mixed mesoderm"
"cell_49468","ExE ectoderm"
"cell_49469","Mesenchyme"
"cell_49470","Epiblast"
"cell_49471","Blood progenitors 2"
"cell_49472","Mixed mesoderm"
"cell_49473","ExE endoderm"
"cell_49474","ExE endoderm"
"cell_49475","Rostral neurectoderm"
"cell_49476","ExE endoderm"
"cell_49477","ExE ectoderm"
"cell_49478",NA
"cell_49479","ExE endoderm"
"cell_49480","Pharyngeal mesoderm"
"cell_49481",NA
"cell_49482","Caudal epiblast"
"cell_49483",NA
"cell_49484","ExE endoderm"
"cell_49485","Caudal neurectoderm"
"cell_49486","ExE endoderm"
"cell_49487","ExE endoderm"
"cell_49488","Mesenchyme"
"cell_49489","ExE endoderm"
"cell_49490","ExE endoderm"
"cell_49491","ExE ectoderm"
"cell_49492","Rostral neurectoderm"
"cell_49493","Mesenchyme"
"cell_49494","ExE ectoderm"
"cell_49495","ExE ectoderm"
"cell_49496","Intermediate mesoderm"
"cell_49497","Nascent mesoderm"
"cell_49498","Caudal neurectoderm"
"cell_49499",NA
"cell_49500","Nascent mesoderm"
"cell_49501","Nascent mesoderm"
"cell_49502","Mixed mesoderm"
"cell_49503","Surface ectoderm"
"cell_49504",NA
"cell_49505","ExE endoderm"
"cell_49506",NA
"cell_49507","Intermediate mesoderm"
"cell_49508","ExE ectoderm"
"cell_49509","ExE endoderm"
"cell_49510","Pharyngeal mesoderm"
"cell_49511","ExE ectoderm"
"cell_49512","ExE endoderm"
"cell_49513","Visceral endoderm"
"cell_49514","ExE ectoderm"
"cell_49515","Caudal epiblast"
"cell_49516","ExE ectoderm"
"cell_49517",NA
"cell_49518","Intermediate mesoderm"
"cell_49519","Epiblast"
"cell_49520","Nascent mesoderm"
"cell_49521","ExE endoderm"
"cell_49522","Mesenchyme"
"cell_49523","ExE ectoderm"
"cell_49524","ExE ectoderm"
"cell_49525","Nascent mesoderm"
"cell_49526","Caudal epiblast"
"cell_49527","Epiblast"
"cell_49528","Nascent mesoderm"
"cell_49529","ExE endoderm"
"cell_49530",NA
"cell_49531","Intermediate mesoderm"
"cell_49532","Rostral neurectoderm"
"cell_49533","Mixed mesoderm"
"cell_49534","Mixed mesoderm"
"cell_49535","ExE endoderm"
"cell_49536","Def. endoderm"
"cell_49537","Caudal epiblast"
"cell_49538","Def. endoderm"
"cell_49539","Rostral neurectoderm"
"cell_49540","Nascent mesoderm"
"cell_49541","Mixed mesoderm"
"cell_49542",NA
"cell_49543","Mixed mesoderm"
"cell_49544","Rostral neurectoderm"
"cell_49545","Mixed mesoderm"
"cell_49546","ExE ectoderm"
"cell_49547","Primitive Streak"
"cell_49548",NA
"cell_49549","Nascent mesoderm"
"cell_49550","Intermediate mesoderm"
"cell_49551","Epiblast"
"cell_49552","ExE endoderm"
"cell_49553","Caudal epiblast"
"cell_49554","ExE endoderm"
"cell_49555","Primitive Streak"
"cell_49556","ExE ectoderm"
"cell_49557","Primitive Streak"
"cell_49558","Mesenchyme"
"cell_49559","Caudal neurectoderm"
"cell_49560","Blood progenitors 2"
"cell_49561","Rostral neurectoderm"
"cell_49562","ExE endoderm"
"cell_49563",NA
"cell_49564","Notochord"
"cell_49565","ExE ectoderm"
"cell_49566","Mesenchyme"
"cell_49567","ExE ectoderm"
"cell_49568","ExE ectoderm"
"cell_49569","Primitive Streak"
"cell_49570","Mixed mesoderm"
"cell_49571","ExE ectoderm"
"cell_49572","Pharyngeal mesoderm"
"cell_49573","Mesenchyme"
"cell_49574","Def. endoderm"
"cell_49575","ExE endoderm"
"cell_49576","Blood progenitors 2"
"cell_49577","Anterior Primitive Streak"
