"","celltype"
"cell_44072","Mesenchyme"
"cell_44073","Paraxial mesoderm"
"cell_44074","PGC"
"cell_44075","ExE ectoderm"
"cell_44076","ExE endoderm"
"cell_44077","ExE endoderm"
"cell_44078","Haematoendothelial progenitors"
"cell_44079","Caudal epiblast"
"cell_44080","Epiblast"
"cell_44081","ExE endoderm"
"cell_44082","ExE ectoderm"
"cell_44083","Def. endoderm"
"cell_44084","Epiblast"
"cell_44085","Rostral neurectoderm"
"cell_44086","ExE endoderm"
"cell_44087",NA
"cell_44088","Nascent mesoderm"
"cell_44089","Caudal epiblast"
"cell_44090","Pharyngeal mesoderm"
"cell_44091","ExE endoderm"
"cell_44092","ExE endoderm"
"cell_44093","Primitive Streak"
"cell_44094","Primitive Streak"
"cell_44095","ExE endoderm"
"cell_44096",NA
"cell_44097","Primitive Streak"
"cell_44098","Blood progenitors 1"
"cell_44099","Primitive Streak"
"cell_44100","Primitive Streak"
"cell_44101","Intermediate mesoderm"
"cell_44102","ExE endoderm"
"cell_44103","Caudal epiblast"
"cell_44104","Mixed mesoderm"
"cell_44105","Rostral neurectoderm"
"cell_44106",NA
"cell_44107",NA
"cell_44108","Intermediate mesoderm"
"cell_44109",NA
"cell_44110",NA
"cell_44111","Intermediate mesoderm"
"cell_44112","Mixed mesoderm"
"cell_44113","Mesenchyme"
"cell_44114","Primitive Streak"
"cell_44115","Visceral endoderm"
"cell_44116","ExE endoderm"
"cell_44117","Nascent mesoderm"
"cell_44118","ExE ectoderm"
"cell_44119","Pharyngeal mesoderm"
"cell_44120","Caudal Mesoderm"
"cell_44121","ExE ectoderm"
"cell_44122",NA
"cell_44123","Nascent mesoderm"
"cell_44124","ExE ectoderm"
"cell_44125","Nascent mesoderm"
"cell_44126","ExE ectoderm"
"cell_44127","Pharyngeal mesoderm"
"cell_44128",NA
"cell_44129","Mesenchyme"
"cell_44130","ExE endoderm"
"cell_44131","ExE ectoderm"
"cell_44132","Mesenchyme"
"cell_44133","Primitive Streak"
"cell_44134",NA
"cell_44135","ExE ectoderm"
"cell_44136","ExE ectoderm"
"cell_44137",NA
"cell_44138","ExE ectoderm"
"cell_44139","Caudal neurectoderm"
"cell_44140","Blood progenitors 2"
"cell_44141","Rostral neurectoderm"
"cell_44142","Nascent mesoderm"
"cell_44143","Mesenchyme"
"cell_44144","ExE endoderm"
"cell_44145","Haematoendothelial progenitors"
"cell_44146",NA
"cell_44147","Epiblast"
"cell_44148","Gut"
"cell_44149",NA
"cell_44150","ExE ectoderm"
"cell_44151","ExE endoderm"
"cell_44152","Def. endoderm"
"cell_44153","ExE ectoderm"
"cell_44154","Mesenchyme"
"cell_44155",NA
"cell_44156",NA
"cell_44157","Blood progenitors 1"
"cell_44158","Blood progenitors 1"
"cell_44159","Surface ectoderm"
"cell_44160","ExE ectoderm"
"cell_44161","ExE endoderm"
"cell_44162","Haematoendothelial progenitors"
"cell_44163","Caudal epiblast"
"cell_44164","ExE ectoderm"
"cell_44165","Nascent mesoderm"
"cell_44166","Rostral neurectoderm"
"cell_44167","Epiblast"
"cell_44168",NA
"cell_44169","Rostral neurectoderm"
"cell_44170","ExE ectoderm"
"cell_44171","ExE endoderm"
"cell_44172","ExE endoderm"
"cell_44173",NA
"cell_44174",NA
"cell_44175","Epiblast"
"cell_44176","Haematoendothelial progenitors"
