"","ENSEMBL","SYMBOL"
"ENSMUSG00000091275","ENSMUSG00000091275","Gm3248"
"ENSMUSG00000090643","ENSMUSG00000090643","Gm3453"
"ENSMUSG00000091568","ENSMUSG00000091568","Gm8206"
"ENSMUSG00000091882","ENSMUSG00000091882","Gm6337"
"ENSMUSG00000094634","ENSMUSG00000094634","Gm3468"
"ENSMUSG00000079371","ENSMUSG00000079371","Gm3476"
"ENSMUSG00000094460","ENSMUSG00000094460","Gm21560"
"ENSMUSG00000079396","ENSMUSG00000079396","Gm3411"
"ENSMUSG00000094811","ENSMUSG00000094811","Gm21103"
"ENSMUSG00000096828","ENSMUSG00000096828","Gm3618"
"ENSMUSG00000072738","ENSMUSG00000072738","Gm16440"
"ENSMUSG00000096904","ENSMUSG00000096904","Gm3591"
"ENSMUSG00000095360","ENSMUSG00000095360","Gm3594"
"ENSMUSG00000090627","ENSMUSG00000090627","Gm8356"
"ENSMUSG00000093898","ENSMUSG00000093898","Gm3629"
"ENSMUSG00000096839","ENSMUSG00000096839","Gm3460"
"ENSMUSG00000094590","ENSMUSG00000094590","Gm10251"
"ENSMUSG00000091814","ENSMUSG00000091814","Gm8050"
"ENSMUSG00000091754","ENSMUSG00000091754","Gm3636"
"ENSMUSG00000090404","ENSMUSG00000090404","Gm8362"
"ENSMUSG00000096685","ENSMUSG00000096685","Gm3642"
"ENSMUSG00000090691","ENSMUSG00000090691","Gm3667"
"ENSMUSG00000091400","ENSMUSG00000091400","Gm6356"
"ENSMUSG00000093985","ENSMUSG00000093985","Gm10406"
"ENSMUSG00000094021","ENSMUSG00000094021","Gm3685"
"ENSMUSG00000092167","ENSMUSG00000092167","Gm3696"
"ENSMUSG00000096869","ENSMUSG00000096869","Gm6676"
"ENSMUSG00000090363","ENSMUSG00000090363","Gm3512"
"ENSMUSG00000095015","ENSMUSG00000095015","Gm16434"
"ENSMUSG00000096183","ENSMUSG00000096183","Gm3727"
"ENSMUSG00000091472","ENSMUSG00000091472","Gm3739"
"ENSMUSG00000072726","ENSMUSG00000072726","Gm5797"
"ENSMUSG00000091676","ENSMUSG00000091676","Gm8374"
"ENSMUSG00000071591","ENSMUSG00000071591","Gm10339"
"ENSMUSG00000091227","ENSMUSG00000091227","Gm3755"
"ENSMUSG00000091617","ENSMUSG00000091617","Gm3752"
"ENSMUSG00000079364","ENSMUSG00000079364","Gm3558"
"ENSMUSG00000094706","ENSMUSG00000094706","Gm10338"
"ENSMUSG00000063277","ENSMUSG00000063277","Gm10128"
"ENSMUSG00000097169","ENSMUSG00000097169","Gm26661"
"ENSMUSG00000025278","ENSMUSG00000025278","Flnb"
"ENSMUSG00000109649","ENSMUSG00000109649","Gm45521"
"ENSMUSG00000025279","ENSMUSG00000025279","Dnase1l3"
"ENSMUSG00000025277","ENSMUSG00000025277","Abhd6"
"ENSMUSG00000023156","ENSMUSG00000023156","Rpp14"
"ENSMUSG00000033885","ENSMUSG00000033885","Pxk"
"ENSMUSG00000021748","ENSMUSG00000021748","Pdhb"
"ENSMUSG00000021752","ENSMUSG00000021752","Kctd6"
"ENSMUSG00000021751","ENSMUSG00000021751","Acox2"
